puj,puj_orig,poj,poj_orig,han,han_orig,en,en_orig,zh_TW,zh_CN,source,page_num
"*Lṳ́ khéng khṳ̀,meh","Lur kheng khur,mĕ",,,汝肯去咩,爾肯去麽,Will you go or not,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,26
*Lṳ́ kim ji̍t kà ùaⁿ lâi,Lur kim jit kă ua lai,,,汝今日較晏來,爾今日太宴來,You are late today,You are late to-day,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,27
"*Lṳ́ kài chheh,khie̍h lâi","Lur kai chĕ,khiĕ lai",,,汝个冊挈來,而個冊挈來,Bring your book,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,19
*Lṳ́ kài hûe-sièⁿ bô tsai,Lur kai hue-sie baw chai,,,汝个和尙無知,爾箇和尙無知,Your priests are ignorant,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,28
*Lṳ́ kài kiáⁿ tshut tsu būe,Lur kai kia chut chu boe,,,汝个囝出珠未,爾箇子出痘未,Has your child had the small pox,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,40
*Lṳ́ kài lêng-hûn ũ kùi,Lur kai leng-hun u kui,,,汝个靈魂有貴,爾個靈魂有貴,Your soul is precious,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,28
*Lṳ́ kài seⁿ-miāⁿ put kú,Lur kai sey-mia put ku,,,汝个生命不久,爾個生命不久,Your life is short,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,28
"*Lṳ́ kāng i sie pat,bô","Lur kang i sie pat,baw",,,汝共伊相別無,爾共伊相識麽,Do you know him?,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,20
*Lṳ́ m̃ khéng hùe kói,Lur mʼkheng huey koi,,,汝毋肯悔改,爾不肯悔攺,You will not repent,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,28
*Lṳ́ m̃ õi tsò,Lur mʼoi chaw,,,汝毋能做,爾不能做,You can't do it,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,27
"*Lṳ́ pat jī,meh","Lur pat ji,mĕ",,,汝別字咩,爾識字麽,Can you read,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,19
*Lṳ́ put lêng kiù ka kí,Lur put neng kiw ka ki,,,汝不能救家己,爾不能救自己,You cannot save yourself,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,28
*Lṳ́ sí-ji̍t chiang kṳ̃n,Lut si-jit chiang kurn,,,汝死日將近,爾死日將近,Your end is near,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,28
*Lṳ́ thì tshò lióu,Lur toi ta liou,,,汝睇錯了,爾看錯了,You are mistaken,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,27
*Lṳ́ tiū tî kò,Lua toa ti taw,,,汝住底塊？,爾住值處,Where do you live,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,26
*Lṳ́ tsò hó nâng,Lur chaw haw nang,,,汝做好人,爾做好人,Be a good boy,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,19
*Lṳ́ tî-sî kàu,Lur ti-si kaou,,,汝底時到,爾值時到,When did you arrive,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,26
*Lṳ́ õi chèng tsu meh,Lur oi cheng chu mĕ,,,汝能種珠咩,爾能種痘麽,Do you understand inoculation,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,40
*Mak chi mo,Măk chi maw,,,目眦毛,目𠞁毛,Eye-lash,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > rule,33
*Ma̍k chiu thiàⁿ m̃ õi tāu,Măk chiw tia mʼoi tak,,,目睭痛毋能讀,目珠痛不能讀,My eyes are sore & I can not read,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,40
*Mn̄g tap,Mung tap,,,問答,,Questions & answers,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,25
*Mài hièⁿ khùe khṳ̀,Mai hie kuey khur,,,勿向快去,勿太快去,Don't be in a hurry,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,21
*Mài khṳ̀ gūa sńg,Mai khur goa sung,,,勿去外耍,,Don't play outside,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,20
*Mèng khí,Meng ki,,,眠起,,Morning,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,52
*Mé-mé tńg lâi,Mey-mey tung lai,,,猛猛轉來,,Make haste back,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,24
*Mông chí kâi mue̍h,Mong chi kai muĕ,,,摸此個物,摸只箇物,Feel of this,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,21
*M̃ sêng sim,Mʼseng sim,,,毋誠心,不誠心,Insincere,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,37
*Ngou teng tsau bo,Gñou teng chaou baw,,,五頂草㡌,,5 Straw hats,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > rule,55
*Ngou tsap it,Gñou chap it,,,〥/〸一,,51,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > rule,16
*Ngóu,Gñou,,,伍,,Five,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,17
*Ngõu,Gñou,,,五,,V,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,16
*Ngõu *ki* pit,Gñou *ki* pit,,,五枝筆,,5 Pencils,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,58
*Ngõu gu̍eh,Gñou guĕ,,,五月,,month June,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,61
*Ngõu kiaⁿ,Gñou kia,,,五經,,Five classics,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,47
*Ngõu kuaⁿ,Gnou kua,,,五官,,Senses,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,35
*Ngõu kâi pit thàu,Gñou kai pĭt tap,,,五個筆套,五丨筆套,5 Pencil cases,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,58
*Ngõu kò  tshâ,Gñou kaw  cha,,,五塊柴,五丨柴,5 Sticks of wood,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,56
*Ngõu lia̍p tsu,Gñou liĕp chu,,,五粒珠,五丨珠,5 Pearls,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,57
*Ngõu oû,Gnou ou,,,五湖,,The five lakes,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,32
*Ngõu peh,Gñou pĕ,,,五百,,500,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,17
*Ngõu sang ma̍k,Gñou sang măk,,,五雙目,五丨目,5 Pr. of eyes,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,56
*Ngõu tieⁿ tsúa,Gñou tie chua,,,五張紙,,5 Sheets of paper,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,59
*Ngõu tiôu huang niá,Gñou tiou huang nia,,,五條封領,五丨封領,5 Cravats,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,54
*Ngõu tsa̍p,Gñou chap,,,五十,,50,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,17
*Ngĩ chiá kài uē ũ tiāⁿ tie̍h,Gni chia kai wey u tia tiŏ,,,義者个話有定着,義者話有定着,The word of the just can be relied upon,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,38
*Ngũan,Gñuan,,,願,,Desire,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,37
*Ni,Ni,,,哖,,Broadcloth,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > rule,53
*No koi tia,Naw koi tia,,,二間㕔,,2 Halls,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > rule,59
*No teng tung bo,Naw teng tŭng baw,,,二頂緞㡌,二頂縀丨,2 Satin caps,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > rule,55
*Nou po̍k,Nou pok,,,奴僕,,Slaves,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,42
*Nãi ko,Tai kaw,,,癩哥,痳瘋,Leprosy,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,39
*Nì,Ni,,,泥,,Mud,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,29
*Nò,Naw,,,怒,,Anger,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,35
*Nõ kha láng,Naw kʼha lang,,,二骹囊,二脚囊,2 Baskets,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,55
*Nõ kâi pit kè,Naw kai pĭt key,,,二個筆架,二丨筆架,2 Pencil stands,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,58
*Nõ kù uē,Naw ku wey,,,二句話,,2 Remarks,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,59
*Nõ pé chià,Naw pèy chia,,,二把蔗,二丨樜,2 Bundles of sugar cane,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,57
*Nõ tieⁿ bé chhia,Naw tie bey chia,,,二張馬車,,2 Carriages,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,59
*Nõ tiôu piⁿ,Naw tiou pi,,,二條辮,二丨辮,2 Braids,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,54
*Nõ tsâng hue,Naw chang hʼuey,,,二欉花,二𣜒花,2 Plants,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,59
*Nõ uî hue hn̂g,Naw ui huey hñg,,,二圍花園,,2 Flower gardens,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,59
*Pang,Pang,,,枋,,Board,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,43
*Pang tshù,Pang chu,,,枋厝,,Board house,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,43
*Peh lan ngou,Pĕ lan gñou,,,〡〇/百〥,,105,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > rule,16
*Peh ngou,Pĕ gñou,,,〡/百〥,,150,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > rule,16
*Pe̍h hiã,Pĕ hia,,,白蟻,,White ant,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,49
*Phah ka tì,Pă ka ti,,,拍咳嚏,嚏,Sneeze,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,39
*Phàu tâi,Phaou tai,,,炮臺,,Fort,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,43
*Phìⁿ-bô hó chia̍h,A-pien mʼhaw chiă,,,鴉片毋好食,鴉片不好食,Opium is not good to eat,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,25
*Phùi nũa,Phui noa,,,呸涎,唾涎,To spit,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,36
*Phû thô tsâng,Pu taw chang,,,葡萄欉,葡萄丨,Grape,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,50
*Phĩⁿ thì,Chek chui,,,鼻嚏,,Cold,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,39
*Pin nô tsâng,Pin naw chang,,,梹榔欉,梹榔丨,Betelnut,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,50
*Pit bô hó,Ua pit mʼhaw,,,我筆毋好,我筆不好,My pen is not good,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,24
*Pit tâng,Pĭt tang,,,筆筒,,Pencil tube,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,45
*Pièn sûi,Kuan pien,,,遍遂,,Palsy,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,39
*Pn̄g,Pŭng,,,飯,,Rice,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,51
*Poih ki thih teng,Poĭ ki tĭ teng,,,八枝鐵釘,,8 Nails,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,58
*Poih ko Poih kue,Poĭ kaw Poĭ kuey,,,八塊粿,八丨粿,8 Cakes,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > rule,57
*Poih kâi keng chie,Poĭ kai keng chie,,,八個弓蕉,八丨芎蕉,8 Plantains,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,58
*Poih liep hou chie,Poĭ liĕp hou chie,,,八粒楜椒,八丨楜椒,8 Peppers,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > rule,57
*Pài jī,Pai ji,,,拜二,,Tuesday,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,61
*Pài ngõu,Pai gñou,,,拜五,,Friday,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,61
*Pūe tṳ bah,Pue tur bă,,,焙猪肉,,Fry some pork,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,21
*Sa teng chi bo,Sa teng chi baw,,,三頂毡㡌,三頂毡丨,3 Felt hats,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > rule,55
*Saⁿ ki pêⁿ taⁿ,Sa ki poi ta,,,三枝平擔,三丨平擔,3 Bearing poles,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,57
*Saⁿ koiⁿ tshù,Sa koi chu,,,三間厝,,3 Houses,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,59
*Saⁿ kâi pit pûaⁿ,Sa kai pĭt poa,,,三個筆盤,三丨丨盤,3 Writing trays,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,58
*Saⁿ pé bí,Sa pèy bi,,,三把米,三丨米,3 Handfuls of rice,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,57
*Saⁿ tieⁿ khàu kúi,Sa tie kaou kui,,,三張扣機,,3 Looms,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,59
*Saⁿ tsâng tsháu,Sa chang chaou,,,三欉草,三𣜒草,3 Weeds,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,59
*Saⁿ uî tshài hn̂g,Sa ui chai hñg,,,三圍菜園,,3 Vegetable gardens,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,59
*Si teng eng bo,Si teng eng baw,,,四頂纓㡌,,4 Tassel'd caps,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > rule,55
*Si tùa,Si toa,,,絲帶,,Lace,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,53
*Si ṳn,Si ŭrn,,,施恩,,Benevolence,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,39
*Siang ha̍h,Siang hă,,,相合,,To agree,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,39
*Sie̍h liû tsâng,Siĕ liw chang,,,石榴欉,石榴丨,Pomegranate,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,50
*Siâng pín,Siang pin,,,上品,,First class,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,42
"*Siêⁿ,thì hó","Sie,toi haw",,,嚐睇好,嘗看好,Taste & see if it is good,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,36
*Siā chióu ma̍k,Sia chiou măk,,,射鳥目,邪鳥目,Squinting,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,39
*Si̍h tsóiⁿ,Koi choi,,,食指,,Forefinger,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,33
*So mung,Saw mung,,,鎻門,,Lock the door,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > rule,24
*Suāiⁿ tsâng,Sñuai chang,,,榱欉,榱丨,Mango,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,50
*Sài i khṳ̀ siâⁿ lãi,Sai i khur sia lai,,,使伊去城內,,Send him into the city,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,25
*Sài lṳ́ ni̍p-kiáⁿ lâi khie̍h,Sai lur kin-kia lai khiĕ,,,使汝囡囝來挈,使爾囝子來挈,Send your servant to take it,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,25
*Sì kâi tsúi ti̍h,Si kai chui tĭ,,,四個水碟,四丨水碟,4 Water cups,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,58
*Sì tieⁿ pháng chhia,Si tie pang chia,,,四張紡車,,4 Wheels,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,59
*Sì tiám gūa tsong liàu,U si tiem goa cheng,,,有四點外鐘~~了~~,,It is past four o'clock,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,23
*Sìn Iā sou tit sià tsũe,Sin Ya sou tĭt sia chuey,,,信耶穌得赦罪,,Faith in Jesus secures pardon for sin,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,38
*Sìn tek,Sin tĕk,,,信德,,Faith,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,37
*Sî bûn,Si bun,,,時文,,Modern literature,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,47
*Sîn Thien chì kong tãu,Sin Tien chi kong taou,,,神天至公道,,God is infinitely just,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,38
*Tau kak tia,Taou kăk tia,,,頭殻痛,,Head ache,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > rule,39
*Tau kui,Taou kui,,,敨氣,偷氣,Sigh,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > rule,39
*Taⁿ tsúi,Ta chui,,,擔水,,Bring some water,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,19
*Teng,Teng,,,釘,,Nail,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,18
*Teng chí pang,Teng chi pang,,,釘此枋,,Nail this board,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,24
*Teng láng,Teng nang,,,燈籠,,Lantern,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,44
*Thiaⁿ m̃ pat,Tʼhia mʼpat,,,聽毋別,聽不識,I don't understand,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,36
*Thih teng,Tĭ teng,,,鐵釘,,Nails,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,43
*Thiⁿ kuang lióu,Thi kŭng liou,,,天光了,,It is day light,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,30
*Thiⁿ kuang tsá,Ti kŭng cha,,,天光早,,Day light,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,52
*Thng,Tŭng,,,湯,,Soup,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,51
*Thng sî,Tŭng si,,,湯匙,,Spoon,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,45
*Thng-sî che̍k ki m̃ kièn,Tung-si chek ki mʼkien,,,湯匙一枝毋見,湯匙一枝不見,One spoon is missing,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,24
*Ti tiang ai khṳ Sit-lat,Ti tiang ai khur Sit-lat,,,底𫢗欲去實力,誰人欲去實力,Who is going to Singapore,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > rule,27
*Ti-tiang hue we,Ti-tiang huey wey,,,底𫢗回話,誰人囘話,Who is interpreter,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > rule,27
*Ti-tiang oi kong,Ti-tiang oi kong,,,底𫢗能講,誰個能講,Who can tell,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > rule,26
"*Tie̍h,lṳ́ kóng si̍t","Tiŏ,lur kong sit",,,着、汝講實,着、爾講實,"Yes, you speak truly",,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,27
*Tin,Tin,,,籐,,Rattan,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,43
*Tin láng,Tin lang,,,籐囊,,Clothes basket,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,44
*Tiâm,Tiem,,,恬,,Quiet,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,18
*Tiâm tiâm,Tiem tiem,,,恬恬,靜靜,Be still,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,19
*Tiâm tiâm tõ tshù,Tiem tiem taw chu,,,恬恬在厝,,Quietly remain at home,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,25
*Tn̂g bû hó,Sim tŭng mʼhaw,,,心腸毋好,心腸不好,A vicious person,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,36
*To tang poi,Taw tang poi,,,涌大,,The waves are high,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > rule,32
*Tome,Tome,,,礑,,Jar,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > rule,18
*Tong kâu,Tong kaou,,,忠厚,,Sincerity,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,37
*Tong pín,Tong pin,,,中品,,Middle class,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,42
*Tong-iông,Tong-yong,,,中庸,,Golden medium,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,47
*To̍k ke,Tŏk key,,,篤家,,Tŏk key,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,49
*Tsa ji̍t,Cha jit,,,昨日,,Yesterday,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,52
*Tsa-ji̍t tsò tsoih,Cha-jit chaw choĭ,,,昨日做節,,Yesterday was a feast day,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,27
*Tsap it,Chap it,,,〡/〸一,,11,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > rule,16
*Tsap ji,Chap ji,,,〡/〸二,,12,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > rule,16
*Tsa̍p jī,Chap ji,,,十二,,XII,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,16
*Tsa̍p jī chiah ah,Chap ji chiă ăh,,,十二隻鴨,十二丨鴨,12 Ducks,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,54
*Tsa̍p jī gu̍eh,Chap ji guĕ,,,十二月,,12th month Jan.,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,61
*Tsa̍p jī ki kuái chiãng,Chap ji ki kuai chiang,,,十二枝拐杖,,12 Staves,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,58
*Tsa̍p ngõu,Chap gñou,,,十五,,XV,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,16
*Tsa̍p ngõu,Chap gñou,,,十五,,15th,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,60
*Tsa̍p ngõu chiah iêⁿ,Chap gñou chiă ie,,,十五隻羊,十五丨羊,15 Goats,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,54
*Tshu jī,Chiw ji,,,初二,,2nd,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,60
*Tshu ngõu,Chiw gñou,,,初五,,5th,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,60
*Tsháu me,Chaou mè,,,草蜢,,Grasshopper,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,49
*Tshù ē,Chu ey,,,厝下,,Under the house,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,26
*Tshūe lṳ́ kài tsṳ-chheh,Chuey lur kai chur-chĕ,,,覓汝个書冊,覓爾箇書冊,Find your book,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,21
*Tso,Chaw,,,鎈,,File,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > rule,46
*Tsáu khṳ̀ khie̍h hõu-sùaⁿ,Chaou khur khiĕ hou-sua,,,走去挈雨傘,,Run and get the umbrella,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,25
*Tsò hó hó,Chaw haw haw,,,做好好,,Do it well,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,20
*Tsò lâi m̃ tie̍h,Chaw lai mʼtiŏ,,,做來毋着,做來不着,You have not made it right,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,27
*Tsò-ni m̃ khṳ̀,Chaw-ni mʼkhur,,,怎呢毋去,怎呢不去,Why do you not go,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,26
"*Tsó chhiú khie̍h,iù chhiú khṳ̀","Chaw chiw khiĕ,yiw chiw khur",,,左手挈、右手去,,He lives from hand to mouth,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,34
*Tsûn iê,Chun ie,,,船搖,,The boat rocks,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,46
*Tsûn láu,Chun laou,,,船漏,,The boat leaks,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,46
*Tsṳ sìn,Chŭr sin,,,書信,,Letter,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,45
*Tê tsâng,Tey chang,,,茶欉,茶丨,Tea,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,50
*Tí tsṳ,Tí chŭr,,,𨽾書,,German text,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > rule,47
*Tî kâi sĩ,Ti kai si,,,底個是,那箇是,Which is the one,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,26
*Tî sî lo̍h tsûn,Ti si lŏ chun,,,底時落船,何時落船,When do you go on board,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,27
*Tò tshut,Taw chut,,,倒出,,Empty this out,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,21
*Tò tĩⁿ,Taw ti,,,倒漲,倒滿,Fill it full,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,21
*Tóu,Tou,,,肚,,Belly,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,33
*Tõ hṳ́ tang ũ tsûn lâi,Taw hur tang u chun lai,,,在彼中有船來,,Yonder comes a junk,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,28
*Tõiⁿ jī,Toi ji,,,第二,,2nd,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,17
*Tõiⁿ ngõu,Toi gñou,,,第五,,5th,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,17
*Tūa chi̍h kóng m̃ kàu kù,Toa chĕ kong mʼkaou ku,,,大舌講毋到句,大舌講不到句,The stammerer does not finish his sentence,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > tiebreak,40
*Ua kai a-pe si liou,Ua kai a-pey si liou,,,我阿父死了,我亞父死了,My father is dead,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > rule,24
*Ua kam lṳ kai ṳn,Ua kam lŭr kai ŭrn,,,我感汝恩,我感爾恩,I am grateful for your favors,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > rule,38
*Ua siu kue i kai ṳn hui,Ua siw kuey i kai ŭrn hui,,,我受過伊恩惠,,I have received his kindness,,,,003_First_Lessons_in_the_Tie-chiw_Dialect > rule,38
